Gene,Reaction1,Reaction2,Reaction3,Reaction4,Reaction5,Reaction6,Reaction7,Reaction8,Reaction9,Reaction10,Reaction11,Reaction12,Reaction13
Acat2,Cholesterol metabolism,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dgkq,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hdlbp,"Transport, golgi apparatus",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Prps2,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh7a1,Arginine and proline metabolism,Beta-Alanine metabolism,Bile acid synthesis,Eicosanoid metabolism,"Glycine, serine, alanine, and threonine metabolism",Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Lysine metabolism,Miscellaneous,Pyruvate metabolism,Tryptophan metabolism,"Valine, leucine, and isoleucine metabolism"
Etfb,Fatty acid oxidation,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Etfa,Fatty acid oxidation,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde6c,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc18a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc8a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc8a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc9a4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cds2,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v1b1,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hlcs,Biotin metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pecr,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugt2b37,Bile acid synthesis,Drug metabolism,Steroid metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v0b,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc28a3,Drug metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc5a5,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc13a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Impa2,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hsd17b11,Propanoate metabolism,Steroid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plpbp,Alanine and aspartate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plcz1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc19a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pnpla3,Glycerophospholipid metabolism,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acsm1,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pip4k2c,Glycerophospholipid metabolism,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc2a9,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3galt6,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hnmt,Histidine metabolism,Methionine and cysteine metabolism,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v0a4,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc17a6,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc34a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Elovl6,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc2a10,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bbox1,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp4f13,Arachidonic acid metabolism,Drug metabolism,Eicosanoid metabolism,Fatty acid oxidation,Leukotriene metabolism,  ,  ,  ,  ,  ,  ,  ,  
Idh3b,Citric acid cycle,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pfkfb3,Fructose and mannose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acot8,Bile acid synthesis,Drug metabolism,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Inpp5j,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fut10,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acer1,Exchange/demand reaction,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acot2,Bile acid synthesis,Drug metabolism,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  
Galnt10,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acot3,Bile acid synthesis,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acot4,Bile acid synthesis,Drug metabolism,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a27,"Transport, extracellular","Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc26a6,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nme7,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mvd,Cholesterol metabolism,Squalene and cholesterol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sardh,Methionine and cysteine metabolism,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nadk,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ash1l,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tmlhe,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pld6,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hs3st2,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a19,"Transport, extracellular","Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ggt7,Fatty acid oxidation,Glutathione metabolism,Leukotriene metabolism,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde2a,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galnt6,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Setd1b,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Alg1,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dot1l,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sgms1,Glycerophospholipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Akr1d1,Androgen and estrogen synthesis and metabolism,Bile acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hmgcs1,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc26a7,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Thnsl1,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hmgcll1,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pycr1,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tns2,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ido2,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Enpp3,CoA synthesis,,NAD metabolism,Starch and sucrose metabolism,Vitamin B2 metabolism,  ,  ,  ,  ,  ,  ,  ,  
Slc38a5,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3gntl1,Keratan sulfate synthesis,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adcy2,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pank3,CoA synthesis,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Suox,Methionine and cysteine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pla2g4b,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ado,Taurine and hypotaurine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mgst2,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hk3,Aminosugar metabolism,Fructose and mannose metabolism,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Inpp5a,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh4a1,Arginine and proline metabolism,Glutamate metabolism,Glyoxylate and dicarboxylate metabolism,Pyruvate metabolism,Tryptophan metabolism,Urea cycle,  ,  ,  ,  ,  ,  ,  
Chpt1,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pgghg,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc18a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc24a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Kmt2a,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Etnk2,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh5a1,Glutamate metabolism,Glyoxylate and dicarboxylate metabolism,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Duox2,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a29,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fam20b,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc43a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc36a1,"Transport, extracellular","Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Entpd3,Nucleotide interconversion,Purine catabolism,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hkdc1,Aminosugar metabolism,Fructose and mannose metabolism,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pdxk,Vitamin B6 metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plppr3,Glycerophospholipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh1l2,Folate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc5a8,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc17a8,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tph2,Tetrahydrobiopterin metabolism,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rdh19,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rdh16f2,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gls2,Glutamate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugp2,Galactose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acsl6,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Xylt2,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nags,Methionine and cysteine metabolism,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dgkb,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a21,Lysine metabolism,"Transport, extracellular",Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acot6,Bile acid synthesis,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Coq6,Steroid metabolism,Ubiquinone synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Itpk1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc17a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mboat1,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gmds,Fructose and mannose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ptpdc1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B4galt7,Chondroitin synthesis,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde8b,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gcnt4,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc4a7,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chdh,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mtmr6,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Naprt,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cerk,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Soat2,Cholesterol metabolism,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pi4ka,Glycerophospholipid metabolism,Inositol phosphate metabolism,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Scarf2,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Adcy5,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Poglut1,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acat3,Cholesterol metabolism,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc26a8,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc37a1,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lclat1,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pik3c3,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc27a6,Fatty acid oxidation,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pde6a,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
St8sia5,Blood group synthesis,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Zadh2,Glycolysis/gluconeogenesis,Miscellaneous,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufs8,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Kmt5b,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tkfc,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nmrk1,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lct,Galactose metabolism,Glycosphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nmnat2,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufs2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Flvcr1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc9a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hibch,CoA synthesis,,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plcl1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufs1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cps1,Glutamate metabolism,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3gnt7,Keratan sulfate synthesis,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dgkd,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ppip5k2,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uap1l1,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc2a6,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gbgt1,Glycosphingolipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plpp7,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pip5kl1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5g3,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc35c1,"Transport, golgi apparatus",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Itpka,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sptlc3,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pigu,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acad9,Bile acid synthesis,Butanoate metabolism,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  
Gmps,Bile acid synthesis,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ampd1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ahcyl1,Methionine and cysteine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc35a3,"Transport, endoplasmic reticular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plppr4,Glycerophospholipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ak5,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Coq3,Ubiquinone synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufb6,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Car9,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gba2,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Npr2,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galnt12,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldob,Fructose and mannose metabolism,Galactose metabolism,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  
Acer2,Exchange/demand reaction,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc5a9,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nt5c1a,NAD metabolism,Nucleotide interconversion,Purine catabolism,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Pigv,Phosphatidylinositol phosphate metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galnt11,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Kmt2c,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hadhb,Bile acid synthesis,Drug metabolism,Fatty acid oxidation,Fatty acid synthesis,Tryptophan metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  
Ppat,Purine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugt2b36,Bile acid synthesis,Drug metabolism,Steroid metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc26a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galnt9,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sds,"Glycine, serine, alanine, and threonine metabolism",Methionine and cysteine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3gnt4,Glycosphingolipid metabolism,Keratan sulfate synthesis,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Daglb,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mat2a,Methionine and cysteine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc4a5,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dera,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gys2,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cpa2,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mgam,Galactose metabolism,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Kmt5c,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp1a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3gnt8,Keratan sulfate synthesis,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Itpkc,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Blvrb,Heme degradation,Heme synthesis,Vitamin B2 metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mogat2,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Xylt1,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acsm2,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acsm4,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc5a11,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Setd1a,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tpte,Inositol phosphate metabolism,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nsd3,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cbr4,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Csgalnact1,Chondroitin synthesis,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Inpp4b,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tat,Phenylalanine metabolism,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fcsk,Fructose and mannose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plcg2,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gucy1a2,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc36a4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rdh8,Steroid metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plppr2,Glycerophospholipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sc5d,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dlat,Glycolysis/gluconeogenesis,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hykk,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc17a5,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pxylp1,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Glyctk,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Setd2,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acaa1b,Bile acid synthesis,Drug metabolism,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a26,"Transport, extracellular","Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc22a29,"Transport, extracellular","Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Phgdh,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc9a7,"Transport, golgi apparatus",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pcyt1b,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
